scenario,date_utc,live_notes_before,liquidated_today,live_notes_after,stress_day,return_1d,vol_5d_ann,daily_buyback_paid_usdc,daily_unwind_cost_usdc,daily_buffer_usdc,min_event_buffer_usdc,max_event_ltv,cumulative_liquidations,cumulative_buyback_paid_usdc,cumulative_unwind_cost_usdc,cumulative_buffer_usdc
primary_lending_liquidation,2012-07-26,184,0,184,False,0.00859156033235231,0.15937488271294686,0.0,0.0,0.0,,,309,17255.43954842637,384.5793734886211,7457.216258518301
primary_lending_liquidation,2012-07-27,185,0,185,False,0.01843280120869073,0.23089762839065833,0.0,0.0,0.0,,,309,17255.43954842637,384.5793734886211,7457.216258518301
primary_lending_liquidation,2012-07-30,186,0,186,False,-0.003403891125884906,0.1948495240585518,0.0,0.0,0.0,,,309,17255.43954842637,384.5793734886211,7457.216258518301
primary_lending_liquidation,2012-07-31,187,0,187,False,-0.008855212531470702,0.17726283155484096,0.0,0.0,0.0,,,309,17255.43954842637,384.5793734886211,7457.216258518301
primary_lending_liquidation,2012-08-01,188,0,188,False,-0.01646459400957656,0.22319982631880023,0.0,0.0,0.0,,,309,17255.43954842637,384.5793734886211,7457.216258518301
primary_lending_liquidation,2012-08-02,189,0,189,False,-0.006904549556853046,0.21462813633293099,0.0,0.0,0.0,,,309,17255.43954842637,384.5793734886211,7457.216258518301
primary_lending_liquidation,2012-08-03,190,0,190,False,0.018950004236577556,0.215128967702985,0.0,0.0,0.0,,,309,17255.43954842637,384.5793734886211,7457.216258518301
primary_lending_liquidation,2012-08-06,191,0,191,False,0.0019374883519653885,0.2224283555484638,0.0,0.0,0.0,,,309,17255.43954842637,384.5793734886211,7457.216258518301
primary_lending_liquidation,2012-08-07,191,0,191,False,0.0050136959712947515,0.2135196279410386,0.0,0.0,0.0,,,309,17255.43954842637,384.5793734886211,7457.216258518301
primary_lending_liquidation,2012-08-08,191,0,191,False,-0.0015011601565810828,0.15296952089636387,0.0,0.0,0.0,,,309,17255.43954842637,384.5793734886211,7457.216258518301
primary_lending_liquidation,2012-08-09,191,0,191,False,0.0008541185315373845,0.13117731372263544,0.0,0.0,0.0,,,309,17255.43954842637,384.5793734886211,7457.216258518301
primary_lending_liquidation,2012-08-10,191,0,191,False,-0.003491256732560455,0.07906244141798267,0.0,0.0,0.0,,,309,17255.43954842637,384.5793734886211,7457.216258518301
primary_lending_liquidation,2012-08-13,191,0,191,False,-0.0016265922972515945,0.07488790617933798,0.0,0.0,0.0,,,309,17255.43954842637,384.5793734886211,7457.216258518301
primary_lending_liquidation,2012-08-14,190,0,190,False,-0.0023812813538804933,0.04586922091322525,0.0,0.0,0.0,,,309,17255.43954842637,384.5793734886211,7457.216258518301
primary_lending_liquidation,2012-08-15,189,0,189,False,0.001136470415082691,0.07533060295701094,0.0,0.0,0.0,,,309,17255.43954842637,384.5793734886211,7457.216258518301
primary_lending_liquidation,2012-08-16,189,0,189,False,0.007378563798790205,0.09481280777402505,0.0,0.0,0.0,,,309,17255.43954842637,384.5793734886211,7457.216258518301
primary_lending_liquidation,2012-08-17,188,0,188,False,0.0013380320816054336,0.08524038622308314,0.0,0.0,0.0,,,309,17255.43954842637,384.5793734886211,7457.216258518301
primary_lending_liquidation,2012-08-20,187,0,187,False,-0.0022029164997260375,0.08736115218344742,0.0,0.0,0.0,,,309,17255.43954842637,384.5793734886211,7457.216258518301
primary_lending_liquidation,2012-08-21,187,0,187,False,-0.003946165599123863,0.08111957015096978,0.0,0.0,0.0,,,309,17255.43954842637,384.5793734886211,7457.216258518301
primary_lending_liquidation,2012-08-22,187,0,187,False,-0.004786536609902803,0.09157538943782047,0.0,0.0,0.0,,,309,17255.43954842637,384.5793734886211,7457.216258518301
primary_lending_liquidation,2012-08-23,187,0,187,False,-0.008183509514779197,0.07793036563876314,0.0,0.0,0.0,,,309,17255.43954842637,384.5793734886211,7457.216258518301
primary_lending_liquidation,2012-08-24,187,0,187,False,0.0027322557113156343,0.08403805318154974,0.0,0.0,0.0,,,309,17255.43954842637,384.5793734886211,7457.216258518301
primary_lending_liquidation,2012-08-27,187,0,187,False,0.00021199053396481204,0.08417968775492572,0.0,0.0,0.0,,,309,17255.43954842637,384.5793734886211,7457.216258518301
primary_lending_liquidation,2012-08-28,186,0,186,False,-0.000989115418180253,0.07851103153151731,0.0,0.0,0.0,,,309,17255.43954842637,384.5793734886211,7457.216258518301
primary_lending_liquidation,2012-08-29,185,0,185,False,0.0,0.07382349977806357,0.0,0.0,0.0,,,309,17255.43954842637,384.5793734886211,7457.216258518301
primary_lending_liquidation,2012-08-30,183,0,183,False,-0.0100877547662801,0.08511181293131646,0.0,0.0,0.0,,,309,17255.43954842637,384.5793734886211,7457.216258518301
primary_lending_liquidation,2012-08-31,180,0,180,False,0.004084686561641959,0.08716081949371943,0.0,0.0,0.0,,,309,17255.43954842637,384.5793734886211,7457.216258518301
primary_lending_liquidation,2012-09-04,177,0,177,False,-0.0010271027062410676,0.11338227407315075,0.0,0.0,0.0,,,309,17255.43954842637,384.5793734886211,7457.216258518301
primary_lending_liquidation,2012-09-05,174,0,174,False,-0.0010280466821712686,0.1132651587411074,0.0,0.0,0.0,,,309,17255.43954842637,384.5793734886211,7457.216258518301
primary_lending_liquidation,2012-09-06,172,0,172,False,0.01838551304916347,0.17055833761247063,0.0,0.0,0.0,,,309,17255.43954842637,384.5793734886211,7457.216258518301
primary_lending_liquidation,2012-09-07,171,0,171,False,-0.0014382061826077042,0.14274725668884528,0.0,0.0,0.0,,,309,17255.43954842637,384.5793734886211,7457.216258518301
primary_lending_liquidation,2012-09-10,170,0,170,False,-0.012818657435352043,0.18051538759730265,0.0,0.0,0.0,,,309,17255.43954842637,384.5793734886211,7457.216258518301
primary_lending_liquidation,2012-09-11,169,0,169,False,-0.0016049111304672348,0.18089798276859248,0.0,0.0,0.0,,,309,17255.43954842637,384.5793734886211,7457.216258518301
primary_lending_liquidation,2012-09-12,168,0,168,False,0.002922650114719705,0.18040687159186158,0.0,0.0,0.0,,,309,17255.43954842637,384.5793734886211,7457.216258518301
primary_lending_liquidation,2012-09-13,167,0,167,False,0.01313765698208802,0.13483996874533616,0.0,0.0,0.0,,,309,17255.43954842637,384.5793734886211,7457.216258518301
primary_lending_liquidation,2012-09-14,166,0,166,False,0.0044341985913907145,0.14451400202491516,0.0,0.0,0.0,,,309,17255.43954842637,384.5793734886211,7457.216258518301
primary_lending_liquidation,2012-09-17,165,0,165,False,-0.004629647208502563,0.09641815644574486,0.0,0.0,0.0,,,309,17255.43954842637,384.5793734886211,7457.216258518301
primary_lending_liquidation,2012-09-18,164,0,164,False,-0.0032557997592660426,0.10966337889735386,0.0,0.0,0.0,,,309,17255.43954842637,384.5793734886211,7457.216258518301
primary_lending_liquidation,2012-09-19,163,0,163,False,-0.0017499011169248568,0.11444236910436469,0.0,0.0,0.0,,,309,17255.43954842637,384.5793734886211,7457.216258518301
